ID,BookID,Index,Name,vi,en
1,1,1,안녕하세요?,Xin chào,Hello
2,1,2,텔레비전이 있어요 ,Có tivi,There is a Television
3,1,3,열쇠가 어디에 있어요?,Chìa khóa ở đâu vậy?,Where is the key?
4,1,4,무슨 과일을 좋아해요?,Bạn thích loại trái cây nào,What kind of fruit do you like?
5,1,5,위로 올라가세요,Đi lên phía trên,Go up
6,1,6,한국어하고 태권도를 배워요,Học tiếng Hàn và Taekwondo,Learn Korean and Taekwondo
7,1,7,일곱 시에 약속이 있어요,Có hẹn lúc 7 giờ,I have an appointment at seven.
8,1,8,이 운동화는 얼마예요?,Giày thể thao này bao nhiêu tiền?,How much are these sneakers?
9,1,9,주말에 뭐 했어요?,Đã làm gì vào cuối tuần?,What did you do on the weekend?
10,1,10,종합 연습,Luyện tập tổng hợp,Comprehensive practice
11,1,11,동대문시장이 백화점보다 싸요,Chợ Dongtemun rẻ hơn trung tâm bách hóa,Dongdaemun market is cheaper than department store
12,1,12,부모님께서는 고향에 계십니다,Bố mẹ sống ở quê,Parents are home
13,1,13,저녁에 뭘 먹을까요?,Tối nay ăn gì thế?,What to eat for dinner?
14,1,14,이번 연휴에 여행을 갈 거예요,Tôi sẽ đi du lịch vào kì nghỉ này,I'm going on a trip this holiday
15,1,15,집에서 회사까지 얼마나 걸려요?,Từ nhà đến công ty mất bao lâu?,How long does it take from home to work?
16,1,16,거기 중국집이지요?,Đó là nhà hàng Trung Quốc phải không ạ?,Is that a Chinese restaurant?
17,1,17,통장을 만들러 왔어요,Đến để làm sổ ngân hàng,I come here to make a passbook
18,1,18,집에 가서 푹 쉬세요,Về nhà nghỉ ngơi đầy đủ,Go home and rest
19,1,19,어른들께 세배를 해요,Lạy chào người lớn,Bow to pay respect to elders
20,1,20,종합 연습,Luyện tập tổng hợp,Comprehensive practice
